client_id,name,email,date_of_birth,country,account_type,account_balance,account_open_date,phone_number,address,risk_tolerance,account_currency
56504cb8,Christopher Blackwell PhD,rmcintosh@example.net,1990-01-20,Saint Martin,standard,16515.28,2012-07-06,001-475-769-2562,"7913 Rice Junctions
North Yolandaview, OR 04160",low,GBP
271ea2c5,Leslie Hendrix,thomasbrittany@example.org,1952-09-01,Slovenia,standard,16469.44,1978-12-27,233.917.8951,"7683 Caitlin Villages Suite 577
Heidifurt, NM 08111",low,EUR
a4625fe4,Lindsay Ray,drobinson@example.net,1955-06-10,Puerto Rico,standard,38575.29,2003-03-19,2605986446,"912 David Gateway
South Jessica, NC 34675",low,EUR
f877292a,Mark Torres,matthew83@example.com,1976-03-10,Liberia,standard,19288.0,1997-03-14,548.251.4842x8881,"13307 Richard Roads Suite 914
Morrisshire, AZ 18863",low,USD
7c0d6bed,April Thomas,sosarachael@example.com,1973-01-06,Burkina Faso,standard,41399.35,2000-09-24,2307189946,"87964 Nathaniel Estate
Lake Joport, NV 54805",low,GBP
c8d6af77,Marvin Mills,alexis90@example.net,1958-10-28,Saint Vincent and the Grenadines,standard,47839.6,2021-08-05,001-333-411-5571,"USS Hubbard
FPO AA 08089",low,EUR
5ef9eeca,Brianna Nguyen,amiller@example.net,1969-05-12,Tokelau,standard,30808.22,2001-08-24,(236)490-1448,"12542 Bowman Cove Suite 522
Josephtown, IL 72540",low,GBP
58544aaa,Kenneth Mason,lori21@example.org,1986-09-29,United States Virgin Islands,standard,20612.97,2011-08-23,561-789-8658x516,"110 Todd Trail
South Nicolasmouth, NC 47356",low,USD
cf1ee4ec,Sarah Lopez,tvilla@example.org,1979-12-01,Anguilla,standard,47603.17,2019-06-11,691.868.2164x275,"9753 Morris Club
East Emilyhaven, OK 27901",low,USD
f6aff6bf,Tiffany Sims,christiepeterson@example.org,1960-03-30,Italy,premium,148354.68,2016-03-14,+1-926-958-6621x0738,"891 Duran Mountains
Phillipstown, CO 00941",medium,EUR
51fdae21,Hannah Craig,wandacain@example.com,1970-12-05,Spain,standard,41139.57,1990-09-26,+1-349-321-1258x9030,"621 James Burg
Fryview, KY 76256",low,USD
429e6da4,Gregory Williams,jon57@example.net,1949-01-09,Hong Kong,standard,20314.99,1973-10-23,+1-740-636-8312x142,"228 Williams Flat Apt. 952
Garzaview, WI 82938",low,USD
24ff6af6,Gabriel Rice,breynolds@example.org,1969-10-24,Saint Barthelemy,corporate,766380.86,1988-10-04,9819449496,"260 Jennifer Lake
Ramirezside, WA 63982",high,USD
37a3e76d,Kimberly Rocha,loripowell@example.net,1989-08-31,Cook Islands,standard,4715.91,2013-04-19,638-818-1628,"864 John Cliff Apt. 807
Port Kristenburgh, VT 20230",low,USD
d786ec08,Samuel Adams,kayla69@example.net,2006-07-04,Saint Vincent and the Grenadines,standard,23016.29,2024-11-08,968-578-5255x26775,"3670 Barrett Stravenue
Dylanview, AK 57325",low,GBP
ebd52797,Christopher Woods,tuckerkristina@example.net,2002-03-09,Sri Lanka,premium,152904.05,2022-05-09,858-989-3115,"26753 Schroeder Ford Apt. 019
Scottview, OH 27157",medium,GBP
0cd158b5,Gary Shelton,deanlinda@example.net,1980-01-12,Eritrea,standard,10695.03,2014-10-17,001-268-709-3871x369,"50544 Rodriguez Path Suite 968
Jonesside, SC 75382",low,GBP
a03f3779,Christina Pollard,xvazquez@example.net,1995-10-03,Belarus,standard,28810.43,2018-06-22,360.457.9658,"34894 Davis Meadows
Lake Heather, MS 93069",low,EUR
3f7dcf08,Jessica Myers,benjaminharris@example.net,1998-11-11,Liechtenstein,standard,36319.29,2018-01-13,295-298-7082,"227 Mitchell Light Suite 914
Wilkinsberg, MO 74133",low,USD
d485d881,Michelle Horton,ncontreras@example.net,1947-04-02,Portugal,standard,2261.07,1979-12-22,297-730-5745x0805,"0792 Jones Green
West Ericatown, PA 37702",low,USD
8b1e3828,Joseph Boone,qbrown@example.org,1977-11-16,Tokelau,premium,68322.92,2004-07-22,001-750-370-5510x850,"52347 Nancy Plain
Port Angelaton, CT 71131",medium,USD
b9decfaf,Patrick Berg,eric16@example.com,1963-02-20,Oman,corporate,221119.53,1991-07-26,393-521-0315x00738,"0609 Mcgrath Vista Apt. 531
South Tammy, MT 14030",high,USD
e59e8581,Emily Williams,tinahowell@example.net,1952-04-05,El Salvador,standard,42263.04,1973-09-01,+1-375-828-8436x285,"66826 Mosley Plains
Michaelberg, SC 64820",low,GBP
c5214103,Brandi Jones,myersbrian@example.net,1990-06-25,Congo,standard,25414.8,2020-05-22,304.390.2338,"558 Emily Walk Apt. 223
Anneton, MT 53596",low,USD
21acaa1b,Christina Huffman,patriciahorton@example.org,2005-03-04,Greece,premium,130636.37,2024-07-25,927.670.5833,"Unit 6449 Box 9718
DPO AE 09901",medium,GBP
ee48b593,Laurie Morales,curtissmith@example.com,1994-09-23,Ethiopia,standard,22794.23,2020-12-09,(288)517-9524x11429,"432 Jackson Terrace
Lake Michelle, CT 44865",low,EUR
